,cap,dim,rad,mean_cap,center_corr,K,EVD90,PR,P,M,N,layer,seed,model,manifold_type,eps,eps_step,max_iter,clean_accuracy,adv_accuracy,random
0,0.08267001781156175,19.990192833207505,1.2056862292295105,0.06091883642355798,0.42615095103510353,2,68,9.573804396961288,10,50,2000,0.pixels,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
1,0.0365711863203467,36.084345690167446,1.6692176141935307,0.06091883642355798,0.42615095103510353,2,68,9.573804396961288,10,50,2000,0.pixels,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
2,0.05025616895173319,29.486146740772597,1.4594794033295315,0.06091883642355798,0.42615095103510353,2,68,9.573804396961288,10,50,2000,0.pixels,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
3,0.05994205261622986,25.785104428073385,1.339735327296996,0.06091883642355798,0.42615095103510353,2,68,9.573804396961288,10,50,2000,0.pixels,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
4,0.053272760874363834,28.305334975663932,1.463626973366696,0.06091883642355798,0.42615095103510353,2,68,9.573804396961288,10,50,2000,0.pixels,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
5,0.08664807382997006,20.15263704275846,1.1740924074174697,0.06091883642355798,0.42615095103510353,2,68,9.573804396961288,10,50,2000,0.pixels,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
6,0.057779439122853576,26.31772987600557,1.3213930069854858,0.06091883642355798,0.42615095103510353,2,68,9.573804396961288,10,50,2000,0.pixels,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
7,0.06369136393231606,24.21751829946411,1.243273955810661,0.06091883642355798,0.42615095103510353,2,68,9.573804396961288,10,50,2000,0.pixels,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
8,0.08190434024498834,20.280575065503832,1.230528141499331,0.06091883642355798,0.42615095103510353,2,68,9.573804396961288,10,50,2000,0.pixels,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
9,0.07935085154295479,21.63207415191069,1.19040693487492,0.06091883642355798,0.42615095103510353,2,68,9.573804396961288,10,50,2000,0.pixels,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
0,0.07471783073766686,22.763881278403403,1.1718493174869145,0.056855430911996435,0.409943645094718,1,147,29.852626810626987,10,50,2000,1.conv1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
1,0.054498017785345076,28.805214559015234,1.3064299427317345,0.056855430911996435,0.409943645094718,1,147,29.852626810626987,10,50,2000,1.conv1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
2,0.04776595227718946,31.233896070351857,1.4592302520215354,0.056855430911996435,0.409943645094718,1,147,29.852626810626987,10,50,2000,1.conv1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
3,0.060859860622472874,26.850070189875325,1.2537162493147034,0.056855430911996435,0.409943645094718,1,147,29.852626810626987,10,50,2000,1.conv1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
4,0.05519855216495606,27.680546740687234,1.2869998621355565,0.056855430911996435,0.409943645094718,1,147,29.852626810626987,10,50,2000,1.conv1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
5,0.05884574677377817,27.055169048471782,1.2496567899208963,0.056855430911996435,0.409943645094718,1,147,29.852626810626987,10,50,2000,1.conv1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
6,0.05316482486951476,28.997483097162796,1.2827837526865737,0.056855430911996435,0.409943645094718,1,147,29.852626810626987,10,50,2000,1.conv1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
7,0.05598022175502119,27.944756499441375,1.27285081197798,0.056855430911996435,0.409943645094718,1,147,29.852626810626987,10,50,2000,1.conv1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
8,0.05885589464135453,26.73184584119303,1.352182120260979,0.056855430911996435,0.409943645094718,1,147,29.852626810626987,10,50,2000,1.conv1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
9,0.055519842017158795,29.791018794871793,1.297924792476304,0.056855430911996435,0.409943645094718,1,147,29.852626810626987,10,50,2000,1.conv1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
0,0.05164226828244584,30.584123310468097,1.2981996162271954,0.047669808528462296,0.2569520324638026,1,312,186.83116457420806,10,50,2000,2.block1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
1,0.05191769116287954,30.568234646444303,1.2815715828292071,0.047669808528462296,0.2569520324638026,1,312,186.83116457420806,10,50,2000,2.block1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
2,0.049893622011332586,31.584948079938137,1.3195129068738871,0.047669808528462296,0.2569520324638026,1,312,186.83116457420806,10,50,2000,2.block1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
3,0.04637825628327289,33.36985401832631,1.3638134628580676,0.047669808528462296,0.2569520324638026,1,312,186.83116457420806,10,50,2000,2.block1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
4,0.043057156106869596,33.52371892908625,1.3767419605004423,0.047669808528462296,0.2569520324638026,1,312,186.83116457420806,10,50,2000,2.block1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
5,0.04526436315337317,33.25418042656079,1.368287971930605,0.047669808528462296,0.2569520324638026,1,312,186.83116457420806,10,50,2000,2.block1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
6,0.05011700606400085,31.195065817033562,1.2570303152392277,0.047669808528462296,0.2569520324638026,1,312,186.83116457420806,10,50,2000,2.block1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
7,0.04737478319126752,32.13565864870303,1.3410414546845868,0.047669808528462296,0.2569520324638026,1,312,186.83116457420806,10,50,2000,2.block1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
8,0.03813670887078144,36.46918458958452,1.6158925758683145,0.047669808528462296,0.2569520324638026,1,312,186.83116457420806,10,50,2000,2.block1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
9,0.059010083125541506,29.538240546001255,1.1966725828542142,0.047669808528462296,0.2569520324638026,1,312,186.83116457420806,10,50,2000,2.block1,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
0,0.059833229226638106,28.830096608133747,1.2226625151135655,0.04846032042561838,0.20952337597573592,1,320,230.60885271386977,10,50,2000,3.block2,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
1,0.044601047801348784,32.573691305154014,1.2902168002693444,0.04846032042561838,0.20952337597573592,1,320,230.60885271386977,10,50,2000,3.block2,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
2,0.048079299325211315,32.445867316285174,1.30973472948294,0.04846032042561838,0.20952337597573592,1,320,230.60885271386977,10,50,2000,3.block2,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
